ABILITIES, ə b ˈɪ l ɪ t iː z
ABORIGINAL, ˌæ b ə ɹ ˈɪ dʒ ɪ n ə l
ABORTION, ə b ˈɔː ʃ ə n
ABSTRACTS(1), ə b s t ɹ ˈæ k t s
ABSTRACTS(2), ˈæ b s t ɹ ˌæ k t s
ACADEMY, ə k ˈæ d ə m iː
ACCEPTING, ə k s ˈɛ p t ɪ ŋ
ACCESSED, ˈæ k s ˌɛ s t
ACCESSIBILITY, ˌæ k s ɛ s ɪ b ˈɪ l ɪ t iː
ACCESSING, ˈæ k s ˌɛ s ɪ ŋ
ACCESSORIES, æ k s ˈɛ s ə ɹ iː z
ACCESSORY, æ k s ˈɛ s ə ɹ iː
ACCOMMODATE, ə k ˈɒ m ə d ˌeɪ t
ACCOMMODATIONS, ə k ˌɒ m ə d ˈeɪ ʃ ə n z
ACCOMPLISHED, ə k ˈɒ m p l ɪ ʃ t
ACCORDANCE, ə k ˈɔː d ə n s
ACCORDING, ə k ˈɔː d ɪ ŋ
ACCOUNTABILITY, ə k aʊ n t ə b ˈɪ l ɪ t iː
ACCOUNTING, ə k ˈaʊ n t ɪ ŋ
ACCREDITED, ə k ɹ ˈɛ d ɪ t ɪ d
ACCUSED, ə k ˈjuː z d
ACER, ˈeɪ s ə
ACIDS, ˈæ s ɪ d z
ACOUSTIC, ə k ˈuː s t ɪ k
ACROBAT, ˈæ k ɹ ə b ˌæ t
ACTIVATED, ˈæ k t ɪ v ˌeɪ t ɪ d
ACTIVATION, ˌæ k t ɪ v ˈeɪ ʃ ə n
ACTRESS, ˈæ k t ɹ ə s
AD, ˈæ d
ADA, ˈeɪ d ə
ADAMS, ˈæ d ə m z
ADAPTER, ə d ˈæ p t ə
ADAPTERS, ə d ˈæ p t ə z
ADDICTION, ə d ˈɪ k ʃ ə n
ADDITIONALLY(1), ə d ˈɪ ʃ ə n ə l iː
ADDITIONALLY(2), ə d ˈɪ ʃ n ə l iː
ADDITIONS, ə d ˈɪ ʃ ə n z
ADDRESSED, ə d ɹ ˈɛ s t
ADDRESSES, ə d ɹ ˈɛ s ɪ z
ADDRESSING, ə d ɹ ˈɛ s ɪ ŋ
ADELAIDE, ˈæ d ə l ˌeɪ d
ADIDAS, ˈæ d ɪ d ə s
ADJACENT, ə dʒ ˈeɪ s ə n t
ADJUST, ə dʒ ˈɐ s t
ADJUSTABLE, ə dʒ ˈɐ s t ə b ə l
ADJUSTED, ə dʒ ˈɐ s t ɪ d
ADJUSTMENT, ə dʒ ˈɐ s t m ə n t
ADMINISTERED, ə d m ˈɪ n ɪ s t ə d
ADMINISTRATOR, ə d m ˈɪ n ɪ s t ɹ ˌeɪ t ə
ADMINISTRATORS, ə d m ˈɪ n ɪ s t ɹ ˌeɪ t ə z
ADMISSIONS(1), æ d m ˈɪ ʃ ə n z
ADMISSIONS(2), ə d m ˈɪ ʃ ə n z
ADOBE, ə d ˈəʊ b iː
ADS, ˈæ d z
ADVANCES, ə d v ˈɑː n s ɪ z
ADVENTURES, ə d v ˈɛ n tʃ ə z
ADVERSE(1), ˈæ d v ɜː s
ADVERSE(2), æ d v ˈɜː s
ADVERTISE, ˈæ d v ə t ˌaɪ z
ADVERTISEMENT(1), ə d v ˈɜː t ɪ s m ə n t
ADVERTISEMENT(2), ə d v ˈɜː t ɪ z m ə n t
ADVERTISEMENTS(1), ə d v ˈɜː t ɪ s m ə n t s
ADVERTISEMENTS(2), ə d v ˈɜː t ɪ z m ə n t s
ADVERTISER, ˈæ d v ə t ˌaɪ z ə
ADVERTISERS, ˈæ d v ə t ˌaɪ z ə z
ADVISED, ə d v ˈaɪ z d
ADVISOR, ə d v ˈaɪ z ə
ADVOCACY, ˈæ d v ə k ə s iː
ADVOCATE(1), ˈæ d v ə k ˌeɪ t
ADVOCATE(2), ˈæ d v ə k ɪ t
AFFECTS, ə f ˈɛ k t s
AFFILIATE(1), ə f ˈɪ l ɪ ˌeɪ t
AFFILIATE(2), ə f ˈɪ l ɪə t
AFFILIATED, ə f ˈɪ l ɪ ˌeɪ t ɪ d
AFFILIATES(1), ə f ˈɪ l ɪ ˌeɪ t s
AFFILIATES(2), ə f ˈɪ l ɪə t s
AFFORDABLE, ə f ˈɔː d ə b ə l
AFGHANISTAN(1), æ f g ˈæ n ɪ s t ˌɑː n
AFGHANISTAN(2), æ f g ˈæ n ɪ s t ˌæ n
AGGREGATE(1), ˈæ g ɹ ɪ g ˌeɪ t
AGGREGATE(2), ˈæ g ɹ ɪ g ɪ t
AGREES, ə g ɹ ˈiː z
AIRFARE, ˈɛə f ˌɛə
AIRLINE, ˈɛə l ˌaɪ n
AIRLINES, ˈɛə l ˌaɪ n z
AIRPORTS, ˈɛə p ˌɔː t s
ALASKA, ə l ˈæ s k ə
ALBANY, ˈɔː l b ə n iː
ALBERTA, æ l b ˈɜː t ə
ALBUMS, ˈæ l b ə m z
ALBUQUERQUE, ˈæ l b ə k ˌɜː k iː
ALERT, ə l ˈɜː t
ALERTS, ə l ˈɜː t s
ALFRED, ˈæ l f ɹ ɪ d
ALGORITHM, ˈæ l g ə ɹ ˌɪ ð ə m
ALGORITHMS, ˈæ l g ə ɹ ˌɪ ð ə m z
ALI, ˈɑː l iː
ALIAS, ˈeɪ l ɪə s
ALIEN, ˈeɪ l ɪə n
ALIGNMENT, ə l ˈaɪ n m ə n t
ALLIED(1), ˈæ l ˌaɪ d
ALLIED(2), ə l ˈaɪ d
ALLOCATED, ˈæ l ə k ˌeɪ t ɪ d
ALPHABETICAL, ˌæ l f ə b ˈɛ t ɪ k ə l
ALPINE, ˈæ l p ˌaɪ n
ALTERNATE(1), ˈɔː l t ə n ˌeɪ t
ALTERNATE(2), ˈɔː l t ə n ə t
ALUMINUM, ə l ˈuː m ɪ n ə m
ALUMNI, ə l ˈɐ m n ˌaɪ
AMATEUR(1), ˈæ m ə t ə
AMATEUR(2), ˈæ m ə tʃ ə
AMATEUR(3), ˈæ m ə tʃ ˌjʊə
AMATEUR(4), ˈæ m ə t ˌɜː
AMAZON, ˈæ m ə z ə n
AMBER, ˈæ m b ə
AMEND, ə m ˈɛ n d
AMENDED, ə m ˈɛ n d ɪ d
AMENDMENTS, ə m ˈɛ n d m ə n t s
AMENITIES, ə m ˈɛ n ɪ t iː z
AMERICAS, ə m ˈɛ ɹ ɪ k ə z
AMINO(1), ə m ˈiː n əʊ
AMINO(2), ə m ˈaɪ n əʊ
AMSTERDAM, ˈæ m s t ə d ˌæ m
ANAL, ˈeɪ n ə l
ANALOG, ˈæ n ə l ˌɒ g
ANALYSES(1), ˈæ n ə l ˌaɪ z ɪː z
ANALYSES(2), ə n ˈæ l ɪ s ˌiː z
ANALYST, ˈæ n ə l ɪ s t
ANALYSTS, ˈæ n ə l ɪ s t s
ANALYTICAL, ˌæ n ə l ˈɪ t ɪ k ə l
ANALYZE, ˈæ n ə l ˌaɪ z
ANATOMY, ə n ˈæ t ə m iː
ANCHOR, ˈæ ŋ k ə
ANDERSON, ˈæ n d ə s ə n
ANDREAS, ɒ n d ɹ ˈeɪ ə s
ANGEL, ˈeɪ n dʒ ə l
LOS-ANGELES, l ɒ s ˈæ n dʒ ɪ l ˌiː z
ANIMATED, ˈæ n ɪ m ˌeɪ t ɪ d
ANIMATION, ˌæ n ɪ m ˈeɪ ʃ ə n
ANNEX(1), ˈæ n ˌɛ k s
ANNEX(2), ə n ˈɛ k s
ANNOTATION, ˌæ n ə t ˈeɪ ʃ ə n
ANNOUNCE, ə n ˈaʊ n s
ANNOUNCEMENTS, ə n ˈaʊ n s m ə n t s
ANNOUNCES, ə n ˈaʊ n s ɪ z
ANNUALLY, ˈæ n jʊə l iː
ANTENNA, æ n t ˈɛ n ə
ANTI, ˈæ n t iː
ANTICIPATED, æ n t ˈɪ s ɪ p ˌeɪ t ɪ d
ANTIQUE, æ n t ˈiː k
ANTIQUES, æ n t ˈiː k s
ANTONIO, æ n t ˈəʊ n ɪ əʊ
ANYMORE, ˌɛ n ɪ m ˈɔː
ANYTIME, ˈɛ n ɪ t ˌaɪ m
APACHE, ə p ˈæ tʃ iː
APARTMENT, ə p ˈɑː t m ə n t
APARTMENTS, ə p ˈɑː t m ə n t s
APP, ˈæ p
APPAREL, ə p ˈæ ɹ ə l
APPEALS, ə p ˈiː l z
APPEARING, ə p ˈɪə ɹ ɪ ŋ
APPLIANCE, ə p l ˈaɪ ə n s
APPLIANCES, ə p l ˈaɪ ə n s ɪ z
APPLICABLE(1), ˈæ p l ɪ k ə b ə l
APPLICABLE(2), ə p l ˈɪ k ə b ə l
APPLICANT, ˈæ p l ɪ k ə n t
APPLICANTS, ˈæ p l ɪ k ə n t s
APPRAISAL, ə p ɹ ˈeɪ z ə l
APPRECIATED, ə p ɹ ˈiː ʃ ɪ ˌeɪ t ɪ d
APPRECIATION, ə p ɹ ˌiː ʃ ɪ ˈeɪ ʃ ə n
APPROVE, ə p ɹ ˈuː v
APPROXIMATE(1), ə p ɹ ˈɒ k s ɪ m ˌeɪ t
APPROXIMATE(2), ə p ɹ ˈɒ k s ɪ m ə t
APPS, ˈæ p s
ARAB, ˈæ ɹ ə b
ARABIA, ə ɹ ˈeɪ b ɪə
ARABIC, ˈæ ɹ ə b ɪ k
ARC, ˈɑː k
ARCADE, ɑː k ˈeɪ d
ARCHITECTURAL, ˌɑː k ɪ t ˈɛ k tʃ ə ɹ ə l
ARCHIVE, ˈɑː k ˌaɪ v
ARCHIVES, ˈɑː k ˌaɪ v z
ARCTIC, ˈɑː k t ɪ k
ARENA, ə ɹ ˈiː n ə
ARGENTINA, ˌɑː dʒ ə n t ˈiː n ə
ARIZONA, ˌæ ɹ ɪ z ˈəʊ n ə
ARKANSAS, ˈɑː k ə n s ˌɔː
ARLINGTON, ˈɑː l ɪ ŋ t ə n
ARMENIA, ɑː m ˈiː n ɪə
ARMSTRONG, ˈɑː m s t ɹ ˌɒ ŋ
ARNOLD, ˈɑː n ə l d
ARRAY, ə ɹ ˈeɪ
ARTHRITIS, ɑː θ ɹ ˈaɪ t ɪ s
ARTWORK, ˈɑː t w ˌɜː k
ASCII, ˈæ s k iː
ASH, ˈæ ʃ
ASS, ˈɑː s
ASSESSMENTS, ə s ˈɛ s m ə n t s
ASSIGN, ə s ˈaɪ n
ASSIGNED, ə s ˈaɪ n d
ASSIGNMENTS, ə s ˈaɪ n m ə n t s
ASSISTANT, ə s ˈɪ s t ə n t
ASSISTED, ə s ˈɪ s t ɪ d
ASSOCIATE(1), ə s ˈəʊ ʃ ɪ ˌeɪ t
ASSOCIATE(2), ə s ˈəʊ s ɪ ˌeɪ t
ASSOCIATE(3), ə s ˈəʊ ʃ ɪə t
ASSOCIATE(4), ə s ˈəʊ s ɪə t
ASSOCIATES(1), ə s ˈəʊ ʃ ɪ ˌeɪ t s
ASSOCIATES(2), ə s ˈəʊ s ɪ ˌeɪ t s
ASSOCIATES(3), ə s ˈəʊ ʃ ɪə t s
ASSOCIATES(4), ə s ˈəʊ s ɪə t s
ASSUMES, ə s ˈjuː m z
ASSURE(1), ə ʃ ˈʊə
ASSURE(2), ə ʃ ˈɔː
ASTRONOMY, ə s t ɹ ˈɒ n ə m iː
ATHENS, ˈæ θ ə n z
ATHLETES, ˈæ θ l ˌiː t s
ATHLETIC, æ θ l ˈɛ t ɪ k
ATHLETICS, æ θ l ˈɛ t ɪ k s
ATLANTA(1), æ t l ˈæ n t ə
ATLANTA(2), ə t l ˈæ n t ə
ATLANTIC, ə t l ˈæ n t ɪ k
ATLAS, ˈæ t l ə s
ATOM, ˈæ t ə m
ATOMIC, ə t ˈɒ m ɪ k
ATTACH, ə t ˈæ tʃ
ATTACHMENT, ə t ˈæ tʃ m ə n t
ATTACHMENTS, ə t ˈæ tʃ m ə n t s
ATTEMPTED, ə t ˈɛ m p t ɪ d
ATTORNEY, ə t ˈɜː n iː
ATTORNEYS, ə t ˈɜː n iː z
ATTRACTIONS, ə t ɹ ˈæ k ʃ ə n z
ATTRIBUTE(1), ˈæ t ɹ ɪ b ˌjuː t
ATTRIBUTE(2), ə t ɹ ˈɪ b ˌjuː t
ATTRIBUTES(1), ˈæ t ɹ ɪ b ˌjuː t s
ATTRIBUTES(2), ə t ɹ ˈɪ b ˌjuː t s
AUCKLAND, ˈɔː k l ə n d
AUCTIONS, ˈɔː k ʃ ə n z
AUDI, ˈaʊ d iː
AUDIO, ˈɔː d iː ˌəʊ
AURORA, ɔː ɹ ˈɔː ɹ ə
AUSTIN(1), ˈɒ s t ɪ n
AUSTIN(2), ˈɔː s t ɪ n
AUTHENTIC, ɔː θ ˈɛ n t ɪ k
AUTHENTICATION, ɔː θ ˌɛ n t ɪ k ˈeɪ ʃ ə n
AUTHORIZATION, ˌɔː θ ə ɹ aɪ z ˈeɪ ʃ ə n
AUTHORIZED, ˈɔː θ ə ɹ ˌaɪ z d
AUTO, ˈɔː t əʊ
AUTOMATED, ˈɔː t ə m ˌeɪ t ɪ d
AUTOMATION, ɔː t ə m ˈeɪ ʃ ə n
AUTOMOBILE, ˌɔː t ə m ə b ˈiː l
AUTOMOTIVE, ˌɔː t ə m ˈəʊ t ɪ v
AUTOS, ˈɔː t əʊ z
AVATAR, ˈæ v ə t ɑː
AVIATION, ˌeɪ v ɪ ˈeɪ ʃ ə n
AWESOME, ˈɔː s ə m
AXIS, ˈæ k s ɪ s
BACHELOR(1), b ˈæ tʃ ə l ə
BACHELOR(2), b ˈæ tʃ l ə
BACKED, b ˈæ k t
BACKGROUNDS, b ˈæ k g ɹ ˌaʊ n d z
BACKUP, b ˈæ k ˌɐ p
BACTERIA, b æ k t ˈɪə ɹ ɪə
BAHAMAS, b ə h ˈɑː m ə z
BAILEY, b ˈeɪ l iː
BALANCED, b ˈæ l ə n s t
BALI, b ˈɑː l iː
BALTIMORE, b ˈɔː l t ɪ m ˌɔː
BANDWIDTH, b ˈæ n d w ɪ d θ
BANGKOK(1), b ˈæ ŋ k ɒ k
BANGKOK(2), b æ ŋ k ˈɒ k
BANGLADESH, b ˈæ ŋ l ə d ˌɛ ʃ
BANKING, b ˈæ ŋ k ɪ ŋ
BANKRUPTCY(1), b ˈæ ŋ k ɹ ɐ p t s iː
BANKRUPTCY(2), b ˈæ ŋ k ɹ ə p t s iː
BANNER, b ˈæ n ə
BAPTIST, b ˈæ p t ɪ s t
BARBADOS, b ɑː b ˈeɪ d əʊ s
BARCELONA, b ˌɑː s ɪ l ˈəʊ n ə
BARGAINS, b ˈɑː g ɪ n z
BARNES, b ˈɑː n z
BASEBALL, b ˈeɪ s b ˌɔː l
BASIN, b ˈeɪ s ɪ n
BASKETBALL, b ˈɑː s k ɪ t b ˌɔː l
BASKETS, b ˈɑː s k ɪ t s
BATCH, b ˈæ tʃ
BATHROOMS, b ˈɑː θ ɹ ˌuː m z
BATTLEFIELD, b ˈæ t ə l f ˌiː l d
BEACHES, b ˈiː tʃ ɪ z
BEAM, b ˈiː m
BEARING, b ˈɛə ɹ ɪ ŋ
BEARS, b ˈɛə z
BEAST, b ˈiː s t
BEATLES, b ˈiː t ə l z
BEAVER, b ˈiː v ə
BEHALF, b ɪ h ˈɑː f
BEHAVIOR, b ɪ h ˈeɪ v j ə
BEHAVIORAL, b ɪ h ˈeɪ v j ə ɹ ə l
BELARUS(1), b ˌɛ l ə r ˈuː s
BELARUS(2), b ˈɛ l ə r ˌʊ s
BELIZE(1), b ɛ l ˈiː z
BELIZE(2), b ə l ˈiː z
BENEFICIAL, b ˌɛ n ɪ f ˈɪ ʃ ə l
BERKELEY, b ˈɜː k l iː
BERMUDA, b ə m ˈjuː d ə
BERRY, b ˈɛ ɹ iː
BESTIALITY, b ˌɛ s t ɪ ˈæ l ɪ t iː
BESTSELLERS, b ˈɛ s t s ˌɛ l ə z
BETA, b ˈiː t ə
BEVERAGE(1), b ˈɛ v ɹ ɪ dʒ
BEVERAGE(2), b ˈɛ v ə ɹ ɪ dʒ
BEVERLY, b ˈɛ v ə l iː
BIAS, b ˈaɪ ə s
BIBLIOGRAPHY, b ˌɪ b l ɪ ˈɒ g ɹ ə f iː
BIDDER, b ˈɪ d ə
BIKINI, b ɪ k ˈiː n iː
BINARY, b ˈaɪ n ə ɹ iː
BIOGRAPHIES, b aɪ ˈɒ g ɹ ə f iː z
BIOGRAPHY, b aɪ ˈɒ g ɹ ə f iː
BIOS, b ˈaɪ ə s
BIOTECHNOLOGY, b ˌaɪ əʊ t ɛ k n ˈɒ l ə dʒ iː
BIZARRE, b ɪ z ˈɑː
BLACKJACK, b l ˈæ k dʒ ˌæ k
BLAIR, b l ˈɛə
BLAST, b l ˈɑː s t
BLOG, b l ˈɒ g
BLOGGER, b l ˈɒ g ə
BLOGGERS, b l ˈɒ g ə z
BLOGGING, b l ˈɒ g ɪ ŋ
BLOGS, b l ˈɒ g z
BLOWJOB, b l ˈəʊ dʒ ˌɒ b
BLUES, b l ˈuː z
BLUETOOTH, b l ˈuː t ˌuː θ
BOLD, b ˈəʊ l d
BOLIVIA, b ə l ˈɪ v ɪə
BONDAGE, b ˈɒ n d ɪ dʒ
BOOB, b ˈuː b
BOOBS, b ˈuː b z
BOOKING, b ˈʊ k ɪ ŋ
BOOKINGS, b ˈʊ k ɪ ŋ z
BOOKMARK, b ˈʊ k m ˌɑː k
BOOKMARKS, b ˈʊ k m ˌɑː k s
BOOKSTORE, b ˈʊ k s t ˌɔː
BOOLEAN, b ˈuː l ɪə n
BOOST, b ˈuː s t
BOOTH, b ˈuː θ
BOOTY, b ˈuː t iː
BORDERS, b ˈɔː d ə z
BOSNIA, b ˈɒ z n ɪə
BOSTON, b ˈɒ s t ə n
BOTSWANA, b ɒ t s w ˈɑː n ə
BRACELET, b ɹ ˈeɪ s l ə t
BRAD, b ɹ ˈæ d
BRADLEY, b ɹ ˈæ d l iː
BRAND, b ɹ ˈæ n d
BRANDS, b ɹ ˈæ n d z
BRAZILIAN, b ɹ ə z ˈɪ l j ə n
BREASTS, b ɹ ˈɛ s t s
BREED, b ɹ ˈiː d
BREEDING, b ɹ ˈiː d ɪ ŋ
BREEDS, b ɹ ˈiː d z
BRIDAL, b ɹ ˈaɪ d ə l
BRIDE, b ɹ ˈaɪ d
BRIDGES, b ɹ ˈɪ dʒ ɪ z
BRISBANE, b ɹ ˈɪ z b ə n
BRITANNICA, b ɹ ɪ t ˈæ n ɪ k ə
BRITNEY, b ɹ ˈɪ t n ˌiː
BROADBAND, b ɹ ˈɔː d b ˌæ n d
BROADCAST, b ɹ ˈɔː d k ˌɑː s t
BROADCASTING, b ɹ ˈɔː d k ˌɑː s t ɪ ŋ
BROADWAY, b ɹ ˈɔː d w ˌeɪ
BROCHURE, b ɹ ˈəʊ ʃ ə
BROKER, b ɹ ˈəʊ k ə
BROKERS, b ɹ ˈəʊ k ə z
BRONZE, b ɹ ˈɒ n z
BROOKLYN, b ɹ ˈʊ k l ɪ n
BROOKS, b ɹ ˈʊ k s
BROWSE, b ɹ ˈaʊ z
BROWSER, b ɹ ˈaʊ z ə
BROWSERS, b ɹ ˈaʊ z ə z
BROWSING, b ɹ ˈaʊ z ɪ ŋ
BRUNETTE, b ɹ uː n ˈɛ t
BRUNSWICK, b ɹ ˈɐ n z w ɪ k
BRYAN, b ɹ ˈaɪ ə n
BUDDY, b ˈɐ d iː
BUFFALO, b ˈɐ f ə l ˌəʊ
BUFFER, b ˈɐ f ə
BUG, b ˈɐ g
BUGS, b ˈɐ g z
BUILDER, b ˈɪ l d ə
BULGARIA, b ɐ l g ˈɛə ɹ ɪə
BULGARIAN, b ɐ l g ˈɛə ɹ ɪə n
BULLET, b ˈʊ l ɪ t
BULLETIN, b ˈʊ l ɪ t ɪ n
BUNDLE, b ˈɐ n d ə l
BUREAU, b ˈjʊə ɹ əʊ
BURIED, b ˈɛ ɹ iː d
BURNER, b ˈɜː n ə
BURNS, b ˈɜː n z
BURTON, b ˈɜː t ə n
BUSTY, b ˈɐ s t iː
BUTLER, b ˈɐ t l ə
BUTT, b ˈɐ t
BUTTS, b ˈɐ t s
BUZZ, b ˈɐ z
CAB, k ˈæ b
CABIN, k ˈæ b ɪ n
CABLES, k ˈeɪ b ə l z
CACHE, k ˈæ ʃ
CACHED, k ˈæ ʃ t
CALCIUM, k ˈæ l s ɪə m
CALCULATE, k ˈæ l k jʊ l ˌeɪ t
CALCULATION, k ˌæ l k jʊ l ˈeɪ ʃ ə n
CALCULATIONS, k ˌæ l k jʊ l ˈeɪ ʃ ə n z
CALCULATORS, k ˈæ l k jʊ l ˌeɪ t ə z
CALENDARS, k ˈæ l ə n d ə z
CALGARY, k ˈæ l g ə ɹ iː
CAM, k ˈæ m
CAMBODIA, k ˌæ m b ˈəʊ d ɪə
CAMCORDER, k ˈæ m k ˌɔː d ə
CAMCORDERS, k ˈæ m k ˌɔː d ə z
CAMEL, k ˈæ m ə l
CAMERON, k ˈæ m ə ɹ ə n
CAMPAIGNS, k æ m p ˈeɪ n z
CAMPING, k ˈæ m p ɪ ŋ
CAMPS, k ˈæ m p s
CAMPUS, k ˈæ m p ə s
CANADIAN, k ə n ˈeɪ d ɪə n
CANCELLATION, k ˌæ n s ə l ˈeɪ ʃ ə n
CANDLE, k ˈæ n d ə l
CANDY, k ˈæ n d iː
CANON, k ˈæ n ə n
CANT, k ˈæ n t
CANVAS, k ˈæ n v ə s
CANYON, k ˈæ n j ə n
CAPABILITIES, k ˌeɪ p ə b ˈɪ l ɪ t iː z
CAPABILITY, k ˌeɪ p ə b ˈɪ l ɪ t iː
CAPITOL, k ˈæ p ɪ t ə l
CAPS, k ˈæ p s
CAPTURE, k ˈæ p tʃ ə
CAPTURED, k ˈæ p tʃ ə d
CAREY, k ˈɛə ɹ iː
CARGO, k ˈɑː g ˌəʊ
CARIBBEAN(1), k ˌæ ɹ ɪ b ˈiː ə n
CARIBBEAN(2), k ə ɹ ˈɪ b ɪə n
CARING, k ˈɛə ɹ ɪ ŋ
CARLOS, k ˈɑː l ɒ s
CARRIERS, k ˈæ ɹ ɪə z
CARROLL, k ˈæ ɹ ə l
CART, k ˈɑː t
CARTER, k ˈɑː t ə
CARTOON, k ɑː t ˈuː n
CARTRIDGE, k ˈɑː t ɹ ɪ dʒ
CARTRIDGES, k ˈɑː t ɹ ɪ dʒ ɪ z
CASHIERS, k ˌæ ʃ ˈɪə z
CASINO, k ə s ˈiː n əʊ
CASINOS, k ə s ˈiː n əʊ z
CAST, k ˈɑː  s t
CASTING, k ˈɑː  s t ɪ ŋ
CATALOG, k ˈæ t ə l ˌɒ g
CATERING, k ˈeɪ t ə ɹ ɪ ŋ
CEDAR, s ˈiː d ə
CELEBRATE, s ˈɛ l ə b ɹ ˌeɪ t
CELEBRATION, s ˌɛ l ə b ɹ ˈeɪ ʃ ə n
CELEBRITIES, s ə l ˈɛ b ɹ ɪ t iː z
CELEBRITY, s ə l ˈɛ b ɹ ɪ t iː
CELLULAR, s ˈɛ l jʊ l ə
CENSUS, s ˈɛ n s ə s
CENTER, s ˈɛ n t ə
CENTERS, s ˈɛ n t ə z
CERAMIC, s ɪ ɹ ˈæ m ɪ k
CERTIFICATES(1), s ə t ˈɪ f ɪ k ˌeɪ t s
CERTIFICATES(2), s ə t ˈɪ f ɪ k ə t s
CERTIFICATION, s ˌɜː t ɪ f ɪ k ˈeɪ ʃ ə n
CERTIFIED, s ˈɜː t ɪ f ˌaɪ d
CHAD, tʃ ˈæ d
CHALLENGES, tʃ ˈæ l ə n dʒ ɪ z
CHALLENGING, tʃ ˈæ l ə n dʒ ɪ ŋ
CHAMBERS, tʃ ˈeɪ m b ə z
CHAMPIONS, tʃ ˈæ m p ɪə n z
CHAMPIONSHIPS, tʃ ˈæ m p ɪə n ʃ ˌɪ p s
CHAR, tʃ ˈɑː
CHARGER, tʃ ˈɑː dʒ ə
CHARLESTON(1), tʃ ˈɑː l s t ə n
CHARLESTON(2), tʃ ˈɑː l z t ə n
CHARM, tʃ ˈɑː m
CHARTS, tʃ ˈɑː t s
CHEATS, tʃ ˈiː t s
CHECKOUT, tʃ ˈɛ k ˌaʊ t
CHEVROLET(1), ʃ ˈɛ v ɹ əʊ l ˌeɪ
CHEVROLET(2), ʃ ˈɛ v ɹ ə l ˌeɪ
CHICAGO, ʃ ɪ k ˈɑː g əʊ
CHILDRENS, tʃ ˈɪ l d ɹ ə n z
CHILE, tʃ ˈɪ l iː
CHOLESTEROL, k ə l ˈɛ s t ə ɹ ˌɒ l
CHORUS, k ˈɒ ɹ ə s
CHRISTINA, k ɹ ɪ s t ˈiː n ə
CHROME, k ɹ ˈəʊ m
CHRONICLE, k ɹ ˈɒ n ɪ k ə l
CHRONICLES, k ɹ ˈɒ n ɪ k ə l z
CHRYSLER, k ɹ ˈaɪ s l ə
CHUBBY, tʃ ˈɐ b iː
CIAO, tʃ ˈaʊ
CINCINNATI, s ˌɪ n s ɪ n ˈæ t iː
CIRCULAR, s ˈɜː k jʊ l ə
CISCO, s ˈɪ s k əʊ
CITATION, s aɪ t ˈeɪ ʃ ə n
CITATIONS, s aɪ t ˈeɪ ʃ ə n z
